 ,Area,Mean,Min,Max,Angle,Length
151,16.976,51.167,3,198,46.017,31.787
152,4.527,79.656,45,172,140.194,8.309
153,13.793,103.210,75,145,45.000,24.448
154,5.942,116.774,85,179,-43.025,10.914
155,15.420,53.803,0,108,37.504,28.832
156,6.437,104.319,66,178,-46.790,12.042
157,18.108,85.262,63,157,43.112,34.246
158,6.720,107.147,78,167,-38.089,12.503
159,14.713,92.606,73,112,47.353,27.480
160,5.659,103.425,85,148,-29.745,10.721
161,11.317,94.912,64,141,38.437,21.391
162,5.517,99.205,83,150,-45.000,9.779
163,12.873,69.253,51,89,58.928,24.220
164,4.173,83.966,64,145,-22.166,7.754
165,7.851,79.604,60,123,61.144,14.879
166,5.942,76.583,59,139,149.744,11.084
167,11.176,70.291,54,148,-20.045,20.950
168,4.244,74.750,61,134,63.435,8.920
169,14.571,86.529,65,139,130.662,27.347
170,5.093,91.611,66,174,40.601,9.808
171,15.703,95.752,76,134,133.176,29.540
172,4.456,104.095,85,155,47.603,8.283
173,14.571,100.039,86,116,-77.712,27.492
174,4.598,103.108,85,159,16.189,8.585
175,22.281,88.695,47,171,74.105,41.756
176,6.225,105.295,85,170,169.695,11.894
177,17.330,88.694,58,207,81.076,32.575
178,7.215,98.667,71,150,173.157,13.393
179,15.066,41.437,23,75,-51.089,28.369
180,4.810,63.471,36,153,34.160,8.999
181,19.522,64.178,35,179,128.530,36.718
182,6.720,44.979,28,149,38.089,12.503
183,14.430,57.569,37,151,7.892,27.119
184,5.942,55.107,33,142,102.095,11.424
185,17.613,77.819,61,150,-49.548,33.203
186,4.881,89.174,70,140,45.000,8.651
187,12.732,92.928,68,137,-48.991,24.319
188,8.488,85.667,66,121,42.274,15.815
189,10.186,109.771,94,139,77.125,19.097
190,8.912,106.952,79,162,-10.784,17.057
191,17.330,67.673,10,113,18.435,29.436
192,4.456,90.492,74,126,122.196,8.486
193,11.883,97.810,79,151,19.290,22.542
194,5.093,100.819,80,181,117.979,9.637
195,15.137,90.313,31,133,-59.128,28.507
196,5.800,108.634,85,155,32.905,10.770
197,17.825,59.520,9,92,128.157,33.147
